source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,text_spanish,_sentence_text_spanish
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1480-1687,1542,1547,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1542, end=1547, sentimentcategory=4)",fresh,"Cloudy weather ; Winds at South-West and South-South-West , a fresh Gale , with which we made our Course good North-West by West , and distance run from Yesterday at Noon to this day at Noon 38 1/2 Leagues .",4,fresco,"Tiempo nublado; Vientos del suroeste y sur-suroeste, un fresco vendaval, con el cual hicimos nuestro rumbo hacia el noroeste por el oeste, y la distancia recorrida desde ayer al mediodía hasta hoy al mediodía es de 38 1/2 leguas."
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1826-1944,1832,1844,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1832, end=1844, sentimentcategory=4)",steady brisk,Had a steady brisk Gale at South-South-West with some flying showers of rain and large hollow Sea from the Southward .,4,constante y enérgico,Teníamos un constante y enérgico viento del sur-suroeste con algunas ráfagas de lluvia y un mar agitado desde el sur.
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_3959-4025,3990,3998,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=3990, end=3998, sentimentcategory=4)",pleasant,Gentle breezes at North-West ; pleasant weather and a Smooth Sea .,4,agradable,Suaves brisas del noroeste; clima agradable y mar tranquilo.
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_4026-4114,4081,4112,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=4081, end=4112, sentimentcategory=4)",uncommon in such high Latitudes,"In the A.M. saw a Tropic Bird , which , I believe , is uncommon in such high Latitudes .",4,poco común en latitudes tan altas,"En la mañana vi un pájaro tropical, que, creo, es poco común en latitudes tan altas."
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_5345-5497,5439,5454,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=5439, end=5454, entitycategory=WEATHER, sentimentcategory=4)",remarkably warm,"Calm , with now and then light Airs from the North-East and North-West ; cloudy weather , but remarkably warm , and so it hath been for some days past .",4,notablemente cálido,"Tranquila, con brisas ligeras de vez en cuando del noreste y noroeste; tiempo nublado, pero notablemente cálido, y así ha sido durante algunos días pasados."
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_13690-13803,13735,13740,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=13735, end=13740, sentimentcategory=4)",fresh,"In the P.M. and most part of the night had a fresh Gale Westerly , with Squalls , attended with Showers of rain .",4,fresco,"Por la tarde y la mayor parte de la noche tuvimos un fresco viento del oeste, con chubascos, acompañados de lluvias."
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_15638-15746,15658,15664,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=15658, end=15664, sentimentcategory=4)",Gentle,"Winds Southerly , a Gentle breeze , and Clear weather , with which we coasted along shore to the Northward .",4,suave,"Vientos del sur, una brisa suave y clima despejado, con los que bordeamos la costa hacia el norte."
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_17448-17603,17466,17472,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=17466, end=17472, sentimentcategory=4)",Gentle,In the P.M. had a Gentle breeze at South by West with which we steer 'd along shore North by East and North-North-East at the distance of about 3 Leagues .,4,suave,En la tarde tuvimos una brisa suave del sur suroeste con la que navegamos a lo largo de la costa hacia el norte noreste y norte-noreste a una distancia de aproximadamente 3 leguas.
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_18382-18555,18445,18451,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=18445, end=18451, sentimentcategory=4)",Gentle,"After this we steer 'd along shore North-North-East , having a Gentle breeze at South-West , and were so near the Shore as to distinguish several people upon the Sea beach .",4,suave,"Después de esto navegamos a lo largo de la costa hacia el norte-noreste, con una suave brisa del suroeste, y estábamos tan cerca de la costa que podíamos distinguir a varias personas en la playa."
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_20496-20590,20514,20520,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=20514, end=20520, sentimentcategory=4)",Gentle,"In the P.M. had a Gentle breeze at East , which in the night veer 'd to North-East and North .",4,suave,"En la tarde tuvimos una brisa suave del este, que durante la noche cambió hacia el noreste y el norte."
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_21469-21718,21515,21521,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=21515, end=21521, sentimentcategory=4)",Gentle,"Stood to the North-East until Noon , having a Gentle breeze at North-West , at which time we Tack 'd and stood to the Westward , being then , by observation , in the Latitude of 35 degrees 10 minutes South and Longitude 208 degrees 51 minutes West .",4,suave,"Se mantuvo al noreste hasta el mediodía, con una brisa suave del noroeste, momento en el que viramos y nos dirigimos hacia el oeste, estando entonces, según la observación, en la latitud de 35 grados 10 minutos sur y longitud 208 grados 51 minutos oeste."
GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_23897-23921,23897,23919,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=23897, end=23919, entitycategory=WEATHER, sentimentcategory=4)","Clear , serene weather","Clear , serene weather .",4,Clima claro y sereno.,Clima claro y sereno.
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_2258-2572,2528,2539,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2528, end=2539, sentimentcategory=4)",malerischen,"Eine düstere Schwermut hängt bei diesem Gedan ken über dem Pfade meines Lebens ; und der Kum : mer gießt einen Nebel auf alle meine künftigen Aussichten , die keine Hoffnung mehr aufhellt . - Ein regnigter Morgen brachte mich um das Vergnügen , das die Ansicht einer so malerischen Gegend mir gewährt haben würde .",4,pintoresco,"Una melancolía sombría se cierne sobre este pensamiento en el camino de mi vida; y la tristeza arroja una niebla sobre todas mis futuras perspectivas, que ya no se iluminan con esperanza. Una mañana lluviosa me privó del placer que la vista de un paisaje tan pintoresco me habría brindado."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_2573-2775,2755,2773,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2755, end=2773, sentimentcategory=4)",wilden Schönheiten,"Denn , wie wohl ein großer Theil des Weges , den ich durch reißte , nicht so angebaut ist , als ich hier gewohnt bin , so hat er demungeachtet alle die in Norwe gen so einheimischen wilden Schönheiten .",4,bellezas salvajes,"Denn, aunque gran parte del camino que recorrí no está tan cultivado como donde vivo, sin embargo, conserva todas esas bellezas salvajes tan propias de Noruega."
TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_3459-3633,3541,3592,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=3541, end=3592, entitycategory=NAT_PHENOMENON, sentimentcategory=4)",die den Wachsthum der Bäume und Pflanzen beför dert,"Nichts beweißt mir so in die Aut gen leuchtend , das es vorzüglich die Luft ist , die den Wachsthum der Bäume und Pflanzen beför dert , als die schöne Gestalt dieser Tannen .",4,que promueve el crecimiento de los árboles y plantas,Nada me demuestra tan claramente en los ojos como la hermosa forma de estos abetos que es principalmente el aire el que promueve el crecimiento de los árboles y plantas.
